LIFNR,NAME1,RISK_CLASS,avg_days_overdue_hist,late_ratio,total_spend_vol,transaction_count,payment_consistency_score,open_exposure,open_count,years_active,payment_terms_risk,is_payment_blocked,dunning_level,reversal_rate,discount_capture_rate,avg_payment_terms_days,voided_payment_rate,stale_payment_rate,composite_risk,RISK_CLASS_LABEL,KMEANS_CLUSTER,ISOLATION_SCORE,IS_OUTLIER
V000001,Alpha Partners,A,19.16216216216216,0.7567567567567568,470273.97,37,24.340767715357153,204729.87,20,7.5,0.25,0,4.0,0.024691358024691357,0.043478260869565216,2.8395061728395063,0.0,0.0,0.45933850517183855,0,1,0.2191,0
V000002,Gamma Industries,A,19.68421052631579,0.7105263157894737,535927.29,38,22.257832223867453,123551.36,17,5.933333333333334,0.75,0,3.0,0.06097560975609756,0.1,3.658536585365854,0.0,0.0625,0.41377299957210095,0,1,0.5076,0
V000003,Smart GmbH,B,21.95,0.675,681151.15,40,26.420611611935065,774533.17,26,7.0,0.75,1,2.0,0.03260869565217391,0.19047619047619047,2.282608695652174,0.027777777777777776,0.027777777777777776,0.47499698067632845,0,0,0.6105,0
V000004,Alpha Associates,C,25.75438596491228,0.7894736842105263,877773.0499999999,57,22.949697089313144,394282.29,21,5.833333333333333,0.55,1,4.0,0.0392156862745098,0.03571428571428571,2.7450980392156863,0.022222222222222223,0.1111111111111111,0.6002958376332989,2,3,0.3996,0
V000005,Delta Corp,D,25.022727272727273,0.7727272727272727,693614.21,44,23.1089317639896,337336.81,21,5.8,0.25,0,4.0,0.024691358024691357,0.1,2.4691358024691357,0.0,0.07894736842105263,0.4885486812570146,0,1,0.1612,0
V000006,Smart Corp,C,24.85185185185185,0.8148148148148148,380661.66,27,23.51219602298692,158658.74,20,4.95,0.75,0,3.0,0.012658227848101266,0.045454545454545456,2.7848101265822787,0.0,0.0,0.4617596499453039,0,3,0.2677,0
V000007,Infra Industries,B,30.2972972972973,0.918918918918919,671349.62,37,18.682827624533928,370888.77,28,6.666666666666667,0.2,0,4.0,0.047619047619047616,0.0,1.9047619047619047,0.07142857142857142,0.0,0.5638191763191763,1,3,0.6447,1
V000008,Prime Services,C,23.794117647058822,0.8235294117647058,957652.61,34,20.29596080394906,172385.78,20,4.7,0.1,0,4.0,0.011904761904761904,0.05,2.380952380952381,0.07142857142857142,0.03571428571428571,0.5045343137254902,1,3,0.419,0
V000009,Sigma Enterprises,A,23.263157894736842,0.7631578947368421,395683.86,38,21.77983720501827,290585.51,28,5.35,0.25,1,4.0,0.020618556701030927,0.10714285714285714,2.88659793814433,0.0,0.09375,0.5779390486525592,2,0,0.2856,0
V000010,Smart Partners,A,26.6,0.825,357985.41,40,22.075395283506857,138779.61000000002,16,7.466666666666666,0.75,0,4.0,0.04938271604938271,0.21739130434782608,2.8395061728395063,0.0,0.02857142857142857,0.5132716049382716,1,1,0.3561,0
V000011,Prime Services,A,20.153846153846153,0.7435897435897436,785379.09,39,21.654631766046656,321964.89,25,5.2,0.2,0,3.0,0.01098901098901099,0.16666666666666666,1.978021978021978,0.0,0.0,0.42065018315018315,0,1,0.2647,0
V000012,Sigma Enterprises,A,20.05263157894737,0.6842105263157895,428251.37,38,23.49461970430223,295335.71,23,5.7,0.35,0,3.0,0.022988505747126436,0.0,2.528735632183908,0.0,0.0,0.40361464004839687,0,1,0.2352,0
V000013,Net Group,A,25.36842105263158,0.8421052631578947,366418.27,38,21.625086848919906,208811.51,23,7.8,0.75,0,2.0,0.023809523809523808,0.08695652173913043,2.738095238095238,0.0,0.03333333333333333,0.43571428571428567,0,2,0.1952,0
