product_name,price_per_unit,date,vendor_id
Enterprise Laptop,1073.59,2025-01-26,V000001
Enterprise Laptop,1214.38,2024-07-11,V000001
Corporate Smartphone,636.5,2026-01-05,V000001
Corporate Smartphone,733.71,2025-08-10,V000001
Rack Server,7954.22,2025-08-02,V000001
Rack Server,9109.53,2025-05-08,V000001
Rack Server,5824.02,2026-02-23,V000001
Rack Server,8159.46,2026-02-21,V000001
Cloud Compute Credit,395.95,2025-04-09,V000001
Cloud Compute Credit,294.84,2025-05-21,V000001
Cloud Compute Credit,259.62,2025-02-01,V000001
Enterprise Laptop,1168.44,2025-01-08,V000002
Enterprise Laptop,1260.42,2025-11-12,V000002
Enterprise Laptop,1174.64,2024-06-28,V000002
Corporate Smartphone,1065.09,2024-11-06,V000002
Corporate Smartphone,732.82,2025-11-18,V000002
Corporate Smartphone,640.15,2025-09-17,V000002
Corporate Smartphone,545.22,2025-08-28,V000002
Rack Server,8127.53,2024-10-14,V000002
Rack Server,6813.63,2025-05-23,V000002
Cloud Compute Credit,353.84,2024-12-28,V000002
Cloud Compute Credit,149.83,2025-04-11,V000002
Cloud Compute Credit,188.12,2025-04-05,V000002
Enterprise Laptop,1183.31,2025-07-02,V000003
Enterprise Laptop,1269.05,2024-06-04,V000003
Enterprise Laptop,1457.67,2024-07-20,V000003
Enterprise Laptop,1218.59,2025-11-13,V000003
Corporate Smartphone,1083.22,2025-05-25,V000003
Corporate Smartphone,1041.2,2024-08-14,V000003
Corporate Smartphone,890.68,2026-04-03,V000003
Rack Server,6259.7,2025-11-07,V000003
Rack Server,8962.68,2024-11-18,V000003
Rack Server,10396.82,2025-01-25,V000003
Cloud Compute Credit,327.7,2025-07-30,V000003
Cloud Compute Credit,293.5,2025-01-07,V000003
Cloud Compute Credit,318.72,2025-02-20,V000003
Cloud Compute Credit,363.25,2026-04-20,V000003
Enterprise Laptop,1182.27,2024-12-03,V000004
Enterprise Laptop,1305.16,2024-11-04,V000004
Corporate Smartphone,700.19,2024-06-10,V000004
Corporate Smartphone,617.24,2024-05-15,V000004
Rack Server,6921.26,2025-10-03,V000004
Rack Server,8821.81,2024-09-06,V000004
Cloud Compute Credit,170.77,2024-09-16,V000004
Cloud Compute Credit,257.12,2025-05-27,V000004
Cloud Compute Credit,382.15,2025-06-23,V000004
Cloud Compute Credit,352.68,2025-05-14,V000004
Enterprise Laptop,1256.54,2024-06-10,V000005
Enterprise Laptop,1410.62,2024-09-12,V000005
Enterprise Laptop,1281.8,2024-06-02,V000005
Corporate Smartphone,1249.64,2025-06-11,V000005
Corporate Smartphone,710.81,2026-04-28,V000005
Corporate Smartphone,1174.27,2026-03-15,V000005
Corporate Smartphone,1098.07,2026-01-03,V000005
Rack Server,12710.1,2024-05-05,V000005
Rack Server,9753.94,2025-09-15,V000005
Rack Server,8383.42,2025-06-02,V000005
Rack Server,7773.14,2025-05-28,V000005
Cloud Compute Credit,581.71,2025-11-05,V000005
Cloud Compute Credit,333.44,2025-08-04,V000005
Cloud Compute Credit,549.24,2025-11-26,V000005
Cloud Compute Credit,175.86,2024-12-27,V000005
Enterprise Laptop,1334.49,2025-08-28,V000006
Enterprise Laptop,1273.91,2024-12-17,V000006
Enterprise Laptop,1071.48,2026-02-14,V000006
Corporate Smartphone,1139.72,2024-06-05,V000006
Corporate Smartphone,839.03,2024-10-07,V000006
Rack Server,8455.71,2025-11-29,V000006
Rack Server,7634.61,2025-11-08,V000006
Rack Server,6724.77,2026-02-05,V000006
Cloud Compute Credit,241.74,2025-03-27,V000006
Cloud Compute Credit,487.29,2025-09-18,V000006
Cloud Compute Credit,358.16,2025-08-16,V000006
Enterprise Laptop,1391.18,2025-05-12,V000007
Enterprise Laptop,1135.95,2026-01-23,V000007
Corporate Smartphone,1036.65,2025-01-14,V000007
Corporate Smartphone,1071.5,2026-04-10,V000007
Rack Server,6993.15,2026-02-08,V000007
